Datetime,Close,High,Low,Open,Volume
2025-01-02 09:00:00+00:00,135.66,135.94,133.29,134.72,0
2025-01-02 10:00:00+00:00,135.79,136.10,135.41,135.67,0
2025-01-02 11:00:00+00:00,136.00,136.01,135.65,135.79,0
2025-01-02 12:00:00+00:00,136.61,136.84,135.81,135.99,0
2025-01-02 13:00:00+00:00,136.06,136.83,133.04,136.63,0
2025-01-02 14:00:00+00:00,136.01,143.24,134.29,136.11,0
2025-01-02 14:30:00+00:00,136.98,138.37,134.63,136.40,57155225
2025-01-02 15:30:00+00:00,137.92,138.07,136.41,136.98,22385014
2025-01-02 16:30:00+00:00,137.01,138.88,136.91,137.92,22996889
2025-01-02 17:30:00+00:00,136.37,137.01,135.16,137.00,23813747
2025-01-02 18:30:00+00:00,137.30,137.36,135.53,136.35,15287714
2025-01-02 19:30:00+00:00,137.91,138.04,136.65,137.29,16465639
2025-01-02 20:30:00+00:00,138.28,138.63,137.31,137.93,14882303
2025-01-02 21:00:00+00:00,138.30,138.75,136.07,138.28,0
2025-01-02 22:00:00+00:00,138.33,147.52,129.28,138.35,0
2025-01-02 23:00:00+00:00,137.90,138.40,137.80,138.35,0
2025-01-03 09:00:00+00:00,138.97,139.19,138.44,138.45,0
2025-01-03 10:00:00+00:00,139.18,139.35,138.91,138.99,0
2025-01-03 11:00:00+00:00,139.30,139.34,139.04,139.16,0
2025-01-03 12:00:00+00:00,138.96,139.56,138.51,139.30,0
2025-01-03 13:00:00+00:00,139.39,139.57,138.31,138.95,0
2025-01-03 14:00:00+00:00,140.02,140.23,135.51,139.39,0
2025-01-03 14:30:00+00:00,143.11,144.22,139.77,140.02,79451070
2025-01-03 15:30:00+00:00,143.46,143.72,142.75,143.12,27317067
2025-01-03 16:30:00+00:00,143.68,144.13,143.18,143.47,19087152
2025-01-03 17:30:00+00:00,144.50,144.74,143.64,143.69,20329289
2025-01-03 18:30:00+00:00,144.37,144.90,143.82,144.50,19539730
2025-01-03 19:30:00+00:00,144.32,144.55,144.04,144.37,15989401
2025-01-03 20:30:00+00:00,144.59,144.72,144.06,144.30,17801822
2025-01-03 21:00:00+00:00,144.56,144.85,141.86,144.59,0
2025-01-03 22:00:00+00:00,144.81,144.83,144.47,144.57,0
